GRAND PRIX,DATE,WINNER,CAR,LAPS,TIME
Australia,25 mar. 2018,Sebastian Vettel,FERRARI,58,1:29:33.283
Bahrain,08 Apr 2018,Sebastian Vettel,FERRARI,57,1:32:01.940
China,15 Apr 2018,Daniel Ricciardo,RED BULL RACING TAG HEUER,56,1:35:36.380
Azerbaijan,29 Apr 2018,Lewis Hamilton,MERCEDES,51,1:43:44.291
Spain,13 May 2018,Lewis Hamilton,MERCEDES,66,1:35:29.972
Monaco,27 May 2018,Daniel Ricciardo,RED BULL RACING TAG HEUER,78,1:42:54.807
Canada,10 jun. 2018,Sebastian Vettel,FERRARI,68,1:28:31.377
France,24 jun. 2018,Lewis Hamilton,MERCEDES,53,1:30:11.385
Austria,01 jul. 2018,Max Verstappen,RED BULL RACING TAG HEUER,71,1:21:56.024
Great Britain,08 jul. 2018,Sebastian Vettel,FERRARI,52,1:27:29.784
Germany,22 jul. 2018,Lewis Hamilton,MERCEDES,67,1:32:29.845
Hungary,29 jul. 2018,Lewis Hamilton,MERCEDES,70,1:37:16.427
Belgium,26 Aug 2018,Sebastian Vettel,FERRARI,44,1:23:34.476
Italy,02 Sep 2018,Lewis Hamilton,MERCEDES,53,1:16:54.484
Singapore,16 Sep 2018,Lewis Hamilton,MERCEDES,61,1:51:11.611
Russia,30 Sep 2018,Lewis Hamilton,MERCEDES,53,1:27:25.181
Japan,07 Oct 2018,Lewis Hamilton,MERCEDES,53,1:27:17.062
United States,21 Oct 2018,Kimi Räikkönen,FERRARI,56,1:34:18.643
Mexico,28 Oct 2018,Max Verstappen,RED BULL RACING TAG HEUER,71,1:38:28.851
Brazil,11 nov. 2018,Lewis Hamilton,MERCEDES,71,1:27:09.066
Abu Dhabi,25 nov. 2018,Lewis Hamilton,MERCEDES,55,1:39:40.382